Date,Day,Facility,Flu,Heatwave,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
12/01/2017,Fri,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,11,8,9,10,7,15,6,7,5,4,5,5,9,9,7,3,14,12,5,6,2,3,2,0,0,0,0,0,0
12/02/2017,Sat,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,13,9,7,9,7,6,3,5,5,1,5,8,7,9,4,2,1,0,0,0,0,0,0,0
12/03/2017,Sun,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,11,19,9,7,2,8,6,7,8,5,1,1,5,4,2,1,0,0,0,0,0,0,0,0
12/04/2017,Mon,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,14,16,17,14,9,7,9,10,4,4,13,11,3,8,8,12,10,6,8,2,9,8,8,1,0,0,0,0,0,0,0
12/05/2017,Tue,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,9,12,9,3,4,6,3,6,7,7,3,7,8,4,8,10,5,7,4,5,9,3,3,1,0,0,0,0,0,0
12/06/2017,Wed,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,10,9,9,6,8,7,6,4,4,2,8,8,11,6,4,8,10,6,3,3,5,7,6,1,0,0,0,0,0,0,0
12/07/2017,Thu,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,13,7,10,4,9,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/2017,Fri,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,10,5,7,7,4,6,8,7,6,6,8,11,6,8,4,5,4,8,2,7,5,7,5,0,0,0,0,1,0,0
12/09/2017,Sat,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,19,17,10,6,5,3,5,4,4,1,0,8,2,3,2,2,0,0,0,0,0,0,0,0
12/10/2017,Sun,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,5,8,10,5,2,2,5,2,3,4,1,0,1,2,2,3,1,0,0,0,0,0,0,0
12/11/2017,Mon,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,6,13,15,9,6,7,11,2,6,9,12,8,9,2,6,9,7,4,2,8,12,14,3,5,0,0,0,0,0,0,0
12/12/2017,Tue,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,7,8,4,4,8,4,2,5,4,10,5,9,6,8,12,9,14,11,9,9,3,5,3,2,0,0,0,0,0,0
12/13/2017,Wed,Murrieta,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,6,4,10,2,5,10,8,2,7,9,9,12,6,8,9,11,8,3,9,11,5,3,2,0,0,0,0,0,0,0
